SOURCE STRATA DEP10 N.BREAK TOTN DISTFRAC
2 412 30 4 282 .014184397163120567
2 412 40 56 282 .19858156028368795
2 412 50 145 282 .5141843971631206
2 412 60 46 282 .16312056737588654
2 412 70 14 282 .04964539007092199
2 412 80 13 282 .04609929078014184
2 412 90 4 282 .014184397163120567
2 413 20 11 281 .03914590747330961
2 413 30 156 281 .5551601423487544
2 413 40 97 281 .34519572953736655
2 413 50 10 281 .03558718861209965
2 413 60 5 281 .017793594306049824
2 413 70 2 281 .0071174377224199285
2 414 30 1 211 .004739336492890996
2 414 40 30 211 .14218009478672985
2 414 50 74 211 .35071090047393366
2 414 60 75 211 .35545023696682465
2 414 70 29 211 .13744075829383887
2 414 80 2 211 .009478672985781991
2 415 300 1 913 .001095290251916758
2 415 310 1 913 .001095290251916758
2 415 320 1 913 .001095290251916758
2 415 330 4 913 .004381161007667032
2 415 340 7 913 .007667031763417305
2 415 350 13 913 .014238773274917854
2 415 360 14 913 .01533406352683461
2 415 370 18 913 .019715224534501644
2 415 380 28 913 .03066812705366922
2 415 390 26 913 .028477546549835708
2 415 400 20 913 .02190580503833516
2 415 410 24 913 .02628696604600219
2 415 420 22 913 .024096385542168676
2 415 430 25 913 .027382256297918947
2 415 440 22 913 .024096385542168676
2 415 450 30 913 .03285870755750274
2 415 460 22 913 .024096385542168676
2 415 470 28 913 .03066812705366922
2 415 480 29 913 .03176341730558598
2 415 490 30 913 .03285870755750274
2 415 500 25 913 .027382256297918947
2 415 510 28 913 .03066812705366922
2 415 520 29 913 .03176341730558598
2 415 530 28 913 .03066812705366922
2 415 540 29 913 .03176341730558598
2 415 550 28 913 .03066812705366922
2 415 560 37 913 .040525739320920046
2 415 570 30 913 .03285870755750274
2 415 580 29 913 .03176341730558598
2 415 590 40 913 .04381161007667032
2 415 600 30 913 .03285870755750274
2 415 610 22 913 .024096385542168676
2 415 620 37 913 .040525739320920046
2 415 630 38 913 .0416210295728368
2 415 640 31 913 .033953997809419496
2 415 650 38 913 .0416210295728368
2 415 660 31 913 .033953997809419496
2 415 670 14 913 .01533406352683461
2 415 680 3 913 .0032858707557502738
2 415 690 1 913 .001095290251916758
2 416 130 1 1486 .0006729475100942127
2 416 140 2 1486 .0013458950201884253
2 416 150 16 1486 .010767160161507403
2 416 160 48 1486 .03230148048452221
2 416 170 106 1486 .07133243606998654
2 416 180 173 1486 .11641991924629878
2 416 190 152 1486 .10228802153432032
2 416 200 105 1486 .07065948855989233
2 416 210 87 1486 .058546433378196504
2 416 220 81 1486 .05450874831763122
2 416 230 62 1486 .04172274562584118
2 416 240 61 1486 .04104979811574697
2 416 250 65 1486 .04374158815612382
2 416 260 91 1486 .06123822341857335
2 416 270 72 1486 .04845222072678331
2 416 280 100 1486 .06729475100942127
2 416 290 85 1486 .05720053835800808
2 416 300 48 1486 .03230148048452221
2 416 310 43 1486 .028936742934051143
2 416 320 24 1486 .016150740242261104
2 416 330 30 1486 .020188425302826378
2 416 340 11 1486 .007402422611036339
2 416 350 10 1486 .006729475100942127
2 416 360 7 1486 .004710632570659489
2 416 370 3 1486 .002018842530282638
2 416 390 3 1486 .002018842530282638
2 417 40 1 827 .0012091898428053204
2 417 50 7 827 .008464328899637243
2 417 60 19 827 .022974607013301087
2 417 70 32 827 .03869407496977025
2 417 80 20 827 .02418379685610641
2 417 90 28 827 .03385731559854897
2 417 100 25 827 .030229746070133012
2 417 110 26 827 .03143893591293833
2 417 120 46 827 .05562273276904474
2 417 130 54 827 .06529625151148731
2 417 140 67 827 .08101571946795647
2 417 150 94 827 .11366384522370013
2 417 160 86 827 .10399032648125756
2 417 170 67 827 .08101571946795647
2 417 180 68 827 .08222490931076179
2 417 190 56 827 .06771463119709795
2 417 200 47 827 .056831922611850064
2 417 210 51 827 .06166868198307134
2 417 220 27 827 .032648125755743655
2 417 230 6 827 .007255139056831923
2 418 30 3 543 .0055248618784530384
2 418 40 6 543 .011049723756906077
2 418 50 11 543 .020257826887661142
2 418 60 15 543 .027624309392265192
2 418 70 17 543 .03130755064456722
2 418 80 25 543 .04604051565377532
2 418 90 17 543 .03130755064456722
2 418 100 21 543 .03867403314917127
2 418 110 25 543 .04604051565377532
2 418 120 33 543 .06077348066298342
2 418 130 39 543 .0718232044198895
2 418 140 71 543 .13075506445672191
2 418 150 82 543 .15101289134438306
2 418 160 88 543 .16206261510128914
2 418 170 66 543 .12154696132596685
2 418 180 24 543 .04419889502762431
2 419 50 38 484 .07851239669421488
2 419 60 90 484 .1859504132231405
2 419 70 67 484 .1384297520661157
2 419 80 57 484 .11776859504132231
2 419 90 41 484 .08471074380165289
2 419 100 45 484 .09297520661157024
2 419 110 53 484 .10950413223140495
2 419 120 34 484 .07024793388429752
2 419 130 38 484 .07851239669421488
2 419 140 16 484 .03305785123966942
2 419 150 5 484 .010330578512396695
2 420 10 3 972 .0030864197530864196
2 420 20 8 972 .00823045267489712
2 420 30 30 972 .030864197530864196
2 420 40 211 972 .21707818930041153
2 420 50 399 972 .4104938271604938
2 420 60 235 972 .2417695473251029
2 420 70 83 972 .08539094650205761
2 420 80 3 972 .0030864197530864196
2 421 30 2 375 .005333333333333333
2 421 40 88 375 .23466666666666666
2 421 50 152 375 .4053333333333333
2 421 60 96 375 .256
2 421 70 37 375 .09866666666666667
2 422 50 26 1883 .013807753584705257
2 422 60 146 1883 .07753584705257567
2 422 70 307 1883 .16303770578863516
2 422 80 282 1883 .14976101964949548
2 422 90 268 1883 .14232607541157727
2 422 100 177 1883 .09399893786510886
2 422 110 141 1883 .07488050982474774
2 422 120 82 1883 .04354753053637812
2 422 130 123 1883 .06532129580456718
2 422 140 135 1883 .07169410515135423
2 422 150 116 1883 .06160382368560807
2 422 160 49 1883 .026022304832713755
2 422 170 23 1883 .012214551248008496
2 422 180 8 1883 .004248539564524694
2 423 50 10 4791 .002087246921310791
2 423 60 14 4791 .0029221456898351076
2 423 70 87 4791 .018159048215403883
2 423 80 161 4791 .033604675433103734
2 423 90 453 4791 .09455228553537884
2 423 100 617 4791 .12878313504487582
2 423 110 989 4791 .20642872051763725
2 423 120 974 4791 .20329785013567106
2 423 130 749 4791 .15633479440617826
2 423 140 496 4791 .10352744729701524
2 423 150 205 4791 .04278856188687122
2 423 160 35 4791 .0073053642245877685
2 423 170 1 4791 .0002087246921310791
2 424 80 8 1638 .004884004884004884
2 424 90 26 1638 .015873015873015872
2 424 100 79 1638 .04822954822954823
2 424 110 148 1638 .09035409035409035
2 424 120 373 1638 .2277167277167277
2 424 130 360 1638 .21978021978021978
2 424 140 240 1638 .14652014652014653
2 424 150 215 1638 .13125763125763126
2 424 160 97 1638 .059218559218559216
2 424 170 53 1638 .03235653235653236
2 424 180 26 1638 .015873015873015872
2 424 190 12 1638 .007326007326007326
2 424 200 1 1638 .0006105006105006105
2 425 230 1 742 .0013477088948787063
2 425 240 1 742 .0013477088948787063
2 425 250 3 742 .004043126684636119
2 425 260 2 742 .0026954177897574125
2 425 270 6 742 .008086253369272238
2 425 280 4 742 .005390835579514825
2 425 290 4 742 .005390835579514825
2 425 300 8 742 .01078167115902965
2 425 310 6 742 .008086253369272238
2 425 320 8 742 .01078167115902965
2 425 330 13 742 .01752021563342318
2 425 340 5 742 .006738544474393531
2 425 350 11 742 .014824797843665768
2 425 360 5 742 .006738544474393531
2 425 370 14 742 .018867924528301886
2 425 380 10 742 .013477088948787063
2 425 390 17 742 .022911051212938006
2 425 400 14 742 .018867924528301886
