SOURCE STRATA DEP10 N.BREAK TOTN DISTFRAC
2 401 50 8 3714 .002154011847065159
2 401 60 107 3714 .028809908454496498
2 401 70 160 3714 .043080236941303175
2 401 80 478 3714 .12870220786214323
2 401 90 457 3714 .1230479267635972
2 401 100 595 3714 .1602046311254712
2 401 110 333 3714 .08966074313408724
2 401 120 293 3714 .07889068389876144
2 401 130 276 3714 .07431340872374798
2 401 140 349 3714 .09396876682821756
2 401 150 256 3714 .06892837910608508
2 401 160 226 3714 .06085083467959074
2 401 170 108 3714 .029079159935379646
2 401 180 34 3714 .009154550350026925
2 401 190 4 3714 .0010770059235325794
2 401 200 9 3714 .0024232633279483036
2 401 210 2 3714 .0005385029617662897
2 401 220 2 3714 .0005385029617662897
2 401 230 6 3714 .0016155088852988692
2 401 240 2 3714 .0005385029617662897
2 401 250 3 3714 .0008077544426494346
2 401 260 3 3714 .0008077544426494346
2 401 270 3 3714 .0008077544426494346
2 402 40 6 4651 .0012900451515803052
2 402 50 12 4651 .0025800903031606105
2 402 60 20 4651 .0043001505052676844
2 402 70 73 4651 .01569554934422705
2 402 80 237 4651 .05095678348742206
2 402 90 290 4651 .06235218232638142
2 402 100 435 4651 .09352827348957214
2 402 110 283 4651 .060847129649537736
2 402 120 372 4651 .07998279939797893
2 402 130 301 4651 .06471726510427865
2 402 140 328 4651 .07052246828639003
2 402 150 252 4651 .05418189636637282
2 402 160 271 4651 .05826703934637712
2 402 170 182 4651 .03913136959793593
2 402 180 252 4651 .05418189636637282
2 402 190 177 4651 .038056331971619006
2 402 200 286 4651 .06149215222532789
2 402 210 139 4651 .029886046011610407
2 402 220 171 4651 .0367662868200387
2 402 230 72 4651 .015480541818963663
2 402 240 95 4651 .0204257149000215
2 402 250 84 4651 .018060632122124276
2 402 260 57 4651 .0122554289400129
2 402 270 36 4651 .0077402709094818315
2 402 280 36 4651 .0077402709094818315
2 402 290 26 4651 .005590195656847989
2 402 300 32 4651 .006880240808428295
2 402 310 24 4651 .005160180606321221
2 402 320 31 4651 .00666523328316491
2 402 330 19 4651 .0040851429800043
2 402 340 15 4651 .0032251128789507633
2 402 350 10 4651 .0021500752526338422
2 402 360 17 4651 .0036551279294775316
2 402 370 5 4651 .0010750376263169211
2 402 380 5 4651 .0010750376263169211
2 403 20 4 4517 .0008855435023245517
2 403 30 62 4517 .01372592428603055
2 403 40 552 4517 .12220500332078814
2 403 50 723 4517 .16006198804516272
2 403 60 1435 4517 .3176887314589329
2 403 70 668 4517 .14788576488820013
2 403 80 334 4517 .07394288244410006
2 403 90 156 4517 .034536196590657514
2 403 100 129 4517 .028558777949966793
2 403 110 56 4517 .012397609032543723
2 403 120 61 4517 .013504538410449414
2 403 130 51 4517 .011290679654638034
2 403 140 86 4517 .019039185299977862
2 403 150 44 4517 .00974097852557007
2 403 160 71 4517 .015718397166260792
2 403 170 35 4517 .007748505645339828
2 403 180 44 4517 .00974097852557007
2 403 190 2 4517 .00044277175116227583
2 403 200 1 4517 .00022138587558113792
2 403 210 1 4517 .00022138587558113792
2 403 220 1 4517 .00022138587558113792
2 403 240 1 4517 .00022138587558113792
2 404 90 1 227 .004405286343612335
2 404 100 2 227 .00881057268722467
2 404 110 5 227 .022026431718061675
2 404 120 4 227 .01762114537444934
2 404 130 6 227 .02643171806167401
2 404 140 10 227 .04405286343612335
2 404 150 7 227 .030837004405286344
2 404 160 12 227 .05286343612334802
2 404 170 13 227 .05726872246696035
2 404 180 29 227 .1277533039647577
2 404 190 16 227 .07048458149779736
2 404 200 19 227 .08370044052863436
2 404 210 17 227 .07488986784140969
2 404 220 14 227 .06167400881057269
2 404 230 12 227 .05286343612334802
2 404 240 17 227 .07488986784140969
2 404 250 8 227 .03524229074889868
2 404 260 6 227 .02643171806167401
2 404 270 4 227 .01762114537444934
2 404 280 6 227 .02643171806167401
2 404 290 3 227 .013215859030837005
2 404 300 4 227 .01762114537444934
2 404 310 3 227 .013215859030837005
2 404 330 1 227 .004405286343612335
2 404 360 1 227 .004405286343612335
2 404 370 1 227 .004405286343612335
2 404 390 2 227 .00881057268722467
2 404 400 2 227 .00881057268722467
2 404 420 1 227 .004405286343612335
2 404 510 1 227 .004405286343612335
2 405 60 5 610 .00819672131147541
2 405 70 4 610 .006557377049180328
2 405 80 8 610 .013114754098360656
