SOURCE	STRATA	DEP10	N.BREAK	TOTN	DISTFRAC
2	440	190	1	16	.0625
2	440	200	1	16	.0625
2	440	220	2	16	.125
2	440	250	1	16	.0625
2	440	260	3	16	.1875
2	440	300	1	16	.0625
2	440	310	2	16	.125
2	440	320	1	16	.0625
2	440	330	1	16	.0625
2	440	340	1	16	.0625
2	440	350	1	16	.0625
2	440	360	1	16	.0625
2	441	110	1	15	.06666666666666667
2	441	120	2	15	.13333333333333333
2	441	130	3	15	.2
2	441	140	2	15	.13333333333333333
2	441	150	4	15	.26666666666666666
2	441	160	3	15	.2
2	442	40	1	16	.0625
2	442	50	4	16	.25
2	442	60	2	16	.125
2	442	70	2	16	.125
2	442	80	6	16	.375
2	442	90	1	16	.0625
2	443	60	1	21	.047619047619047616
2	443	70	3	21	.14285714285714285
2	443	80	10	21	.47619047619047616
2	443	90	7	21	.3333333333333333
2	444	80	1	29	.034482758620689655
2	444	90	3	29	.10344827586206896
2	444	100	6	29	.20689655172413793
2	444	110	3	29	.10344827586206896
2	444	120	4	29	.13793103448275862
2	444	130	3	29	.10344827586206896
2	444	140	2	29	.06896551724137931
2	444	150	3	29	.10344827586206896
2	444	160	3	29	.10344827586206896
2	444	170	1	29	.034482758620689655
2	445	160	1	26	.038461538461538464
2	445	190	4	26	.15384615384615385
2	445	200	1	26	.038461538461538464
2	445	210	5	26	.19230769230769232
2	445	220	4	26	.15384615384615385
2	445	240	4	26	.15384615384615385
2	445	250	1	26	.038461538461538464
2	445	260	3	26	.11538461538461539
2	445	280	2	26	.07692307692307693
2	445	290	1	26	.038461538461538464
2	446	210	1	20	.05
2	446	230	1	20	.05
2	446	240	1	20	.05
2	446	250	2	20	.1
2	446	260	2	20	.1
2	446	290	2	20	.1
2	446	300	2	20	.1
2	446	310	2	20	.1
2	446	320	1	20	.05
2	446	330	3	20	.15
2	446	340	1	20	.05
2	446	350	1	20	.05
2	446	360	1	20	.05
2	447	30	1	24	.041666666666666664
2	447	40	5	24	.20833333333333334
2	447	50	2	24	.08333333333333333
2	447	60	10	24	.4166666666666667
2	447	70	3	24	.125
2	447	80	3	24	.125
2	448	40	1	25	.04
2	448	50	2	25	.08
2	448	60	16	25	.64
2	448	70	4	25	.16
2	448	90	1	25	.04
2	448	110	1	25	.04
2	449	100	6	10	.6
2	449	110	4	10	.4
2	450	90	2	18	.1111111111111111
2	450	100	4	18	.2222222222222222
2	450	110	4	18	.2222222222222222
2	450	120	2	18	.1111111111111111
2	450	130	2	18	.1111111111111111
2	450	150	2	18	.1111111111111111
2	450	170	2	18	.1111111111111111
2	451	110	1	12	.08333333333333333
2	451	200	3	12	.25
2	451	210	1	12	.08333333333333333
2	451	220	2	12	.16666666666666666
2	451	240	1	12	.08333333333333333
2	451	250	2	12	.16666666666666666
2	451	290	1	12	.08333333333333333
2	451	300	1	12	.08333333333333333
2	452	180	1	13	.07692307692307693
2	452	190	3	13	.23076923076923078
2	452	200	1	13	.07692307692307693
2	452	210	1	13	.07692307692307693
2	452	220	3	13	.23076923076923078
2	452	230	1	13	.07692307692307693
2	452	250	3	13	.23076923076923078
2	453	160	1	19	.05263157894736842
2	453	180	1	19	.05263157894736842
2	453	190	1	19	.05263157894736842
2	453	200	1	19	.05263157894736842
2	453	210	3	19	.15789473684210525
2	453	220	1	19	.05263157894736842
2	453	230	1	19	.05263157894736842
2	453	240	4	19	.21052631578947367
2	453	280	2	19	.10526315789473684
2	453	290	2	19	.10526315789473684
2	453	300	2	19	.10526315789473684
2	454	90	2	21	.09523809523809523
2	454	100	7	21	.3333333333333333
2	454	110	4	21	.19047619047619047
2	454	120	3	21	.14285714285714285
2	454	130	2	21	.09523809523809523
2	454	140	3	21	.14285714285714285
2	455	30	2	46	.043478260869565216
2	455	40	4	46	.08695652173913043
2	455	50	12	46	.2608695652173913
2	455	60	15	46	.32608695652173914
2	455	70	11	46	.2391304347826087
2	455	80	2	46	.043478260869565216
2	456	20	1	39	.02564102564102564
2	456	30	4	39	.10256410256410256
2	456	40	2	39	.05128205128205128
2	456	50	8	39	.20512820512820512
2	456	60	9	39	.23076923076923078
2	456	70	10	39	.2564102564102564
2	456	80	5	39	.1282051282051282
2	457	100	4	13	.3076923076923077
2	457	110	2	13	.15384615384615385
2	457	130	1	13	.07692307692307693
2	457	140	3	13	.23076923076923078
2	457	150	1	13	.07692307692307693
2	457	170	1	13	.07692307692307693
2	457	180	1	13	.07692307692307693
2	458	30	4	24	.16666666666666666
2	458	40	5	24	.20833333333333334
2	458	50	5	24	.20833333333333334
2	458	60	7	24	.2916666666666667
2	458	70	1	24	.041666666666666664
2	458	90	2	24	.08333333333333333
2	459	80	2	32	.0625
2	459	90	1	32	.03125
2	459	100	3	32	.09375
2	459	110	4	32	.125
2	459	120	1	32	.03125
2	459	130	3	32	.09375
2	459	140	8	32	.25
2	459	150	2	32	.0625
2	459	160	4	32	.125
2	459	170	1	32	.03125
2	459	180	1	32	.03125
2	459	200	1	32	.03125
2	459	210	1	32	.03125
2	460	100	1	18	.05555555555555555
2	460	110	1	18	.05555555555555555
2	460	140	4	18	.2222222222222222
2	460	150	3	18	.16666666666666666
2	460	160	3	18	.16666666666666666
2	460	170	3	18	.16666666666666666
2	460	180	3	18	.16666666666666666
2	461	180	1	18	.05555555555555555
2	461	190	2	18	.1111111111111111
2	461	200	1	18	.05555555555555555
2	461	220	3	18	.16666666666666666
2	461	230	3	18	.16666666666666666
2	461	240	3	18	.16666666666666666
2	461	250	3	18	.16666666666666666
2	461	270	2	18	.1111111111111111
2	462	90	1	35	.02857142857142857
2	462	100	3	35	.08571428571428572
2	462	110	3	35	.08571428571428572
2	462	120	5	35	.14285714285714285
2	462	130	6	35	.17142857142857143
2	462	140	5	35	.14285714285714285
2	462	150	5	35	.14285714285714285
2	462	160	4	35	.11428571428571428
2	462	170	3	35	.08571428571428572
2	463	70	1	16	.0625
2	463	80	8	16	.5
2	463	90	7	16	.4375
2	464	40	1	35	.02857142857142857
2	464	50	6	35	.17142857142857143
2	464	60	2	35	.05714285714285714
2	464	70	9	35	.2571428571428571
2	464	80	6	35	.17142857142857143
2	464	90	11	35	.3142857142857143
2	465	100	13	39	.3333333333333333
2	465	110	10	39	.2564102564102564
2	465	120	4	39	.10256410256410256
2	465	130	5	39	.1282051282051282
2	465	140	1	39	.02564102564102564
2	465	150	1	39	.02564102564102564
2	465	160	4	39	.10256410256410256
2	465	170	1	39	.02564102564102564
2	466	170	1	20	.05
2	466	180	1	20	.05
2	466	200	2	20	.1
2	466	230	2	20	.1
2	466	240	2	20	.1
2	466	280	3	20	.15
2	466	290	3	20	.15
2	466	300	3	20	.15
2	466	310	1	20	.05
2	466	340	1	20	.05
2	466	360	1	20	.05
2	470	130	1	12	.08333333333333333
2	470	150	1	12	.08333333333333333
2	470	160	1	12	.08333333333333333
2	470	170	5	12	.4166666666666667
2	470	180	4	12	.3333333333333333
2	471	190	1	13	.07692307692307693
2	471	200	2	13	.15384615384615385
2	471	210	2	13	.15384615384615385
2	471	220	2	13	.15384615384615385
2	471	230	3	13	.23076923076923078
2	471	240	3	13	.23076923076923078
2	472	90	1	14	.07142857142857142
2	472	100	3	14	.21428571428571427
2	472	110	1	14	.07142857142857142
2	472	120	1	14	.07142857142857142
2	472	130	2	14	.14285714285714285
2	472	140	1	14	.07142857142857142
2	472	150	1	14	.07142857142857142
2	472	160	2	14	.14285714285714285
2	472	180	2	14	.14285714285714285
2	473	80	4	12	.3333333333333333
2	473	90	8	12	.6666666666666666
2	474	60	1	12	.08333333333333333
2	474	70	2	12	.16666666666666666
2	474	80	4	12	.3333333333333333
2	474	90	5	12	.4166666666666667
2	475	80	5	12	.4166666666666667
2	475	90	7	12	.5833333333333334
2	476	110	2	14	.14285714285714285
2	476	120	2	14	.14285714285714285
2	476	140	2	14	.14285714285714285
2	476	150	4	14	.2857142857142857
2	476	160	3	14	.21428571428571427
2	476	170	1	14	.07142857142857142
2	477	100	4	13	.3076923076923077
2	477	110	4	13	.3076923076923077
2	477	120	2	13	.15384615384615385
2	477	140	2	13	.15384615384615385
2	477	150	1	13	.07692307692307693
2	478	190	1	17	.058823529411764705
2	478	200	1	17	.058823529411764705
2	478	210	2	17	.11764705882352941
2	478	240	2	17	.11764705882352941
2	478	250	1	17	.058823529411764705
2	478	260	1	17	.058823529411764705
2	478	280	2	17	.11764705882352941
2	478	290	2	17	.11764705882352941
2	478	300	1	17	.058823529411764705
2	478	320	1	17	.058823529411764705
2	478	340	2	17	.11764705882352941
2	478	350	1	17	.058823529411764705
2	480	60	5	24	.20833333333333334
