SOURCE STRATA DEP10 N.BREAK TOTN DISTFRAC
2 501 80 8 1026 .007797270955165692
2 501 90 172 1026 .16764132553606237
2 501 100 334 1026 .3255360623781676
2 501 110 143 1026 .13937621832358674
2 501 120 96 1026 .0935672514619883
2 501 130 73 1026 .07115009746588694
2 501 140 64 1026 .06237816764132553
2 501 150 46 1026 .04483430799220273
2 501 160 26 1026 .025341130604288498
2 501 170 23 1026 .022417153996101363
2 501 180 8 1026 .007797270955165692
2 501 190 4 1026 .003898635477582846
2 501 200 3 1026 .0029239766081871343
2 501 210 4 1026 .003898635477582846
2 501 230 2 1026 .001949317738791423
2 501 240 2 1026 .001949317738791423
2 501 260 2 1026 .001949317738791423
2 501 270 2 1026 .001949317738791423
2 501 280 1 1026 .0009746588693957114
2 501 290 1 1026 .0009746588693957114
2 501 310 1 1026 .0009746588693957114
2 501 320 1 1026 .0009746588693957114
2 501 370 2 1026 .001949317738791423
2 501 420 2 1026 .001949317738791423
2 501 430 1 1026 .0009746588693957114
2 501 450 1 1026 .0009746588693957114
2 501 460 1 1026 .0009746588693957114
2 501 480 1 1026 .0009746588693957114
2 501 500 1 1026 .0009746588693957114
2 501 540 1 1026 .0009746588693957114
2 502 40 1 1798 .0005561735261401557
2 502 50 11 1798 .006117908787541713
2 502 60 268 1798 .14905450500556172
2 502 70 363 1798 .20189098998887653
2 502 80 632 1798 .3515016685205784
2 502 90 477 1798 .26529477196885426
2 502 100 31 1798 .017241379310344827
2 502 110 5 1798 .0027808676307007787
2 502 120 7 1798 .00389321468298109
2 502 130 1 1798 .0005561735261401557
2 502 140 1 1798 .0005561735261401557
2 502 160 1 1798 .0005561735261401557
2 503 20 55 3277 .016783643576441867
2 503 30 794 3277 .2422947818126335
2 503 40 804 3277 .24534635337198657
2 503 50 650 3277 .19835215135794934
2 503 60 510 3277 .1556301495270064
2 503 70 167 3277 .050961245041196215
2 503 80 60 3277 .0183094293561184
2 503 90 35 3277 .010680500457735734
2 503 100 27 3277 .00823924321025328
2 503 110 25 3277 .007628928898382667
2 503 120 21 3277 .00640830027464144
2 503 130 16 3277 .004882514494964907
2 503 140 20 3277 .006103143118706134
2 503 150 21 3277 .00640830027464144
2 503 160 22 3277 .006713457430576747
2 503 170 23 3277 .007018614586512054
2 503 180 19 3277 .005797985962770827
2 503 190 5 3277 .0015257857796765334
2 503 200 3 3277 .00091547146780592
2 504 30 119 4086 .029123837493881546
2 504 40 558 4086 .13656387665198239
2 504 50 532 4086 .13020068526676457
2 504 60 586 4086 .14341654429760156
2 504 70 861 4086 .21071953010279001
2 504 80 771 4086 .18869309838472834
2 504 90 624 4086 .1527165932452276
2 504 100 34 4086 .008321096426823299
2 504 110 1 4086 .0002447381302006853
2 505 70 2 2997 .000667334000667334
2 505 80 8 2997 .002669336002669336
2 505 90 92 2997 .030697364030697363
2 505 100 164 2997 .05472138805472139
2 505 110 149 2997 .04971638304971638
2 505 120 155 2997 .051718385051718385
2 505 130 218 2997 .0727394060727394
2 505 140 481 2997 .16049382716049382
2 505 150 419 2997 .1398064731398065
2 505 160 537 2997 .17917917917917917
2 505 170 411 2997 .13713713713713713
2 505 180 349 2997 .11644978311644978
2 505 190 12 2997 .004004004004004004
2 506 0 1 3542 .000282326369282891
2 506 10 282 3542 .07961603613777526
2 506 20 699 3542 .19734613212874083
2 506 30 436 3542 .12309429700734048
2 506 40 452 3542 .12761151891586675
2 506 50 487 3542 .13749294184076793
2 506 60 441 3542 .12450592885375494
2 506 70 309 3542 .08723884810841333
2 506 80 277 3542 .07820440429136082
2 506 90 140 3542 .039525691699604744
2 506 100 17 3542 .004799548277809147
2 506 120 1 3542 .000282326369282891
2 507 20 91 4505 .020199778024417313
2 507 30 193 4505 .042841287458379576
2 507 40 494 4505 .10965593784683685
2 507 50 574 4505 .1274139844617092
2 507 60 743 4505 .1649278579356271
2 507 70 1198 4505 .26592674805771366
2 507 80 803 4505 .17824639289678135
2 507 90 406 4505 .09012208657047725
2 507 100 3 4505 .0006659267480577136
2 508 90 259 2680 .09664179104477612
2 508 100 615 2680 .2294776119402985
2 508 110 402 2680 .15
2 508 120 284 2680 .10597014925373134
2 508 130 231 2680 .08619402985074627
2 508 140 204 2680 .07611940298507462
2 508 150 148 2680 .05522388059701493
2 508 160 118 2680 .04402985074626865
2 508 170 94 2680 .03507462686567164
2 508 180 69 2680 .025746268656716417
2 508 190 48 2680 .01791044776119403
2 508 200 56 2680 .020895522388059702
2 508 210 38 2680 .014179104477611941
2 508 220 28 2680 .010447761194029851
2 508 230 20 2680 .007462686567164179
2 508 240 12 2680 .004477611940298508
2 508 250 12 2680 .004477611940298508
2 508 260 5 2680 .0018656716417910447
2 508 270 11 2680 .004104477611940298
2 508 280 1 2680 .00037313432835820896
2 508 290 5 2680 .0018656716417910447
2 508 300 5 2680 .0018656716417910447
2 508 320 1 2680 .00037313432835820896
2 508 330 2 2680 .0007462686567164179
2 508 340 2 2680 .0007462686567164179
2 508 350 1 2680 .00037313432835820896
