SOURCE	STRATA	DEP10	N.BREAK	TOTN	DISTFRAC
2	443	60	1	13	.07692307692307693
2	443	70	1	13	.07692307692307693
2	443	80	4	13	.3076923076923077
2	443	90	7	13	.5384615384615384
2	444	90	1	16	.0625
2	444	100	1	16	.0625
2	444	110	3	16	.1875
2	444	120	2	16	.125
2	444	130	1	16	.0625
2	444	140	2	16	.125
2	444	150	3	16	.1875
2	444	160	1	16	.0625
2	444	170	2	16	.125
2	445	170	1	17	.058823529411764705
2	445	180	1	17	.058823529411764705
2	445	190	1	17	.058823529411764705
2	445	200	2	17	.11764705882352941
2	445	220	2	17	.11764705882352941
2	445	230	1	17	.058823529411764705
2	445	240	3	17	.17647058823529413
2	445	250	1	17	.058823529411764705
2	445	260	2	17	.11764705882352941
2	445	270	1	17	.058823529411764705
2	445	290	2	17	.11764705882352941
2	446	210	1	14	.07142857142857142
2	446	220	2	14	.14285714285714285
2	446	230	1	14	.07142857142857142
2	446	250	1	14	.07142857142857142
2	446	260	2	14	.14285714285714285
2	446	280	1	14	.07142857142857142
2	446	290	1	14	.07142857142857142
2	446	300	1	14	.07142857142857142
2	446	310	2	14	.14285714285714285
2	446	340	1	14	.07142857142857142
2	446	350	1	14	.07142857142857142
2	447	40	3	22	.13636363636363635
2	447	50	4	22	.18181818181818182
2	447	60	8	22	.36363636363636365
2	447	70	5	22	.22727272727272727
2	447	80	2	22	.09090909090909091
2	448	50	2	22	.09090909090909091
2	448	60	10	22	.45454545454545453
2	448	70	9	22	.4090909090909091
2	448	90	1	22	.045454545454545456
2	449	90	2	12	.16666666666666666
2	449	100	2	12	.16666666666666666
2	449	110	5	12	.4166666666666667
2	449	130	2	12	.16666666666666666
2	449	140	1	12	.08333333333333333
2	450	90	1	18	.05555555555555555
2	450	100	4	18	.2222222222222222
2	450	110	5	18	.2777777777777778
2	450	120	3	18	.16666666666666666
2	450	130	1	18	.05555555555555555
2	450	150	2	18	.1111111111111111
2	450	170	1	18	.05555555555555555
2	450	190	1	18	.05555555555555555
2	451	180	1	12	.08333333333333333
2	451	190	1	12	.08333333333333333
2	451	200	1	12	.08333333333333333
2	451	210	2	12	.16666666666666666
2	451	220	2	12	.16666666666666666
2	451	230	1	12	.08333333333333333
2	451	270	1	12	.08333333333333333
2	451	300	1	12	.08333333333333333
2	451	310	1	12	.08333333333333333
2	451	360	1	12	.08333333333333333
2	452	160	1	12	.08333333333333333
2	452	180	1	12	.08333333333333333
2	452	200	1	12	.08333333333333333
2	452	210	1	12	.08333333333333333
2	452	220	2	12	.16666666666666666
2	452	230	1	12	.08333333333333333
2	452	250	1	12	.08333333333333333
2	452	260	3	12	.25
2	452	310	1	12	.08333333333333333
2	453	190	1	18	.05555555555555555
2	453	200	1	18	.05555555555555555
2	453	210	3	18	.16666666666666666
2	453	220	1	18	.05555555555555555
2	453	240	1	18	.05555555555555555
2	453	250	2	18	.1111111111111111
2	453	260	3	18	.16666666666666666
2	453	270	1	18	.05555555555555555
2	453	280	1	18	.05555555555555555
2	453	290	2	18	.1111111111111111
2	453	320	1	18	.05555555555555555
2	453	340	1	18	.05555555555555555
2	454	90	2	18	.1111111111111111
2	454	100	4	18	.2222222222222222
2	454	110	4	18	.2222222222222222
2	454	120	4	18	.2222222222222222
2	454	130	1	18	.05555555555555555
2	454	150	1	18	.05555555555555555
2	454	170	2	18	.1111111111111111
2	455	20	1	40	.025
2	455	30	1	40	.025
2	455	40	8	40	.2
2	455	50	5	40	.125
2	455	60	15	40	.375
2	455	70	6	40	.15
2	455	80	2	40	.05
2	455	90	2	40	.05
2	456	30	5	31	.16129032258064516
2	456	40	3	31	.0967741935483871
2	456	50	3	31	.0967741935483871
2	456	60	9	31	.2903225806451613
2	456	70	1	31	.03225806451612903
2	456	80	4	31	.12903225806451613
2	456	90	3	31	.0967741935483871
2	456	100	3	31	.0967741935483871
2	457	110	2	9	.2222222222222222
2	457	120	1	9	.1111111111111111
2	457	130	4	9	.4444444444444444
2	457	140	2	9	.2222222222222222
2	458	30	2	15	.13333333333333333
2	458	40	2	15	.13333333333333333
2	458	50	4	15	.26666666666666666
2	458	60	2	15	.13333333333333333
2	458	70	2	15	.13333333333333333
2	458	90	3	15	.2
2	459	90	2	17	.11764705882352941
2	459	100	1	17	.058823529411764705
2	459	110	1	17	.058823529411764705
2	459	130	2	17	.11764705882352941
2	459	140	3	17	.17647058823529413
2	459	150	2	17	.11764705882352941
2	459	160	1	17	.058823529411764705
2	459	170	1	17	.058823529411764705
2	459	180	1	17	.058823529411764705
2	459	190	1	17	.058823529411764705
2	459	200	1	17	.058823529411764705
2	459	220	1	17	.058823529411764705
2	460	110	2	13	.15384615384615385
2	460	120	1	13	.07692307692307693
2	460	130	1	13	.07692307692307693
2	460	140	1	13	.07692307692307693
2	460	150	2	13	.15384615384615385
2	460	160	1	13	.07692307692307693
2	460	170	1	13	.07692307692307693
2	460	180	4	13	.3076923076923077
2	461	210	2	12	.16666666666666666
2	461	230	2	12	.16666666666666666
2	461	240	2	12	.16666666666666666
2	461	250	2	12	.16666666666666666
2	461	260	2	12	.16666666666666666
2	461	270	2	12	.16666666666666666
2	462	100	2	23	.08695652173913043
2	462	110	2	23	.08695652173913043
2	462	120	2	23	.08695652173913043
2	462	130	2	23	.08695652173913043
2	462	140	5	23	.21739130434782608
2	462	150	4	23	.17391304347826086
2	462	160	1	23	.043478260869565216
2	462	170	4	23	.17391304347826086
2	462	180	1	23	.043478260869565216
2	463	70	2	11	.18181818181818182
2	463	80	3	11	.2727272727272727
2	463	90	4	11	.36363636363636365
2	463	100	2	11	.18181818181818182
2	464	50	4	30	.13333333333333333
2	464	60	4	30	.13333333333333333
2	464	70	6	30	.2
2	464	80	10	30	.3333333333333333
2	464	90	6	30	.2
2	465	100	8	27	.2962962962962963
2	465	110	8	27	.2962962962962963
2	465	130	4	27	.14814814814814814
2	465	140	6	27	.2222222222222222
2	465	150	1	27	.037037037037037035
2	466	190	3	18	.16666666666666666
2	466	200	2	18	.1111111111111111
2	466	210	1	18	.05555555555555555
2	466	220	1	18	.05555555555555555
2	466	240	3	18	.16666666666666666
2	466	260	2	18	.1111111111111111
2	466	280	1	18	.05555555555555555
2	466	290	1	18	.05555555555555555
2	466	320	2	18	.1111111111111111
2	466	330	1	18	.05555555555555555
2	466	340	1	18	.05555555555555555
2	470	130	1	13	.07692307692307693
2	470	140	1	13	.07692307692307693
2	470	150	1	13	.07692307692307693
2	470	160	1	13	.07692307692307693
2	470	170	5	13	.38461538461538464
2	470	180	4	13	.3076923076923077
2	471	180	1	13	.07692307692307693
2	471	190	2	13	.15384615384615385
2	471	210	3	13	.23076923076923078
2	471	220	3	13	.23076923076923078
2	471	230	3	13	.23076923076923078
2	471	240	1	13	.07692307692307693
2	472	90	1	13	.07692307692307693
2	472	100	2	13	.15384615384615385
2	472	110	1	13	.07692307692307693
2	472	130	2	13	.15384615384615385
2	472	140	2	13	.15384615384615385
2	472	150	2	13	.15384615384615385
2	472	160	2	13	.15384615384615385
2	472	180	1	13	.07692307692307693
2	473	80	2	12	.16666666666666666
2	473	90	10	12	.8333333333333334
2	474	80	4	8	.5
2	474	90	4	8	.5
2	475	70	1	12	.08333333333333333
2	475	80	1	12	.08333333333333333
2	475	90	10	12	.8333333333333334
2	476	100	2	12	.16666666666666666
2	476	120	1	12	.08333333333333333
2	476	140	2	12	.16666666666666666
2	476	150	3	12	.25
2	476	160	3	12	.25
2	476	180	1	12	.08333333333333333
2	477	100	4	14	.2857142857142857
2	477	110	6	14	.42857142857142855
2	477	120	3	14	.21428571428571427
2	477	130	1	14	.07142857142857142
2	478	190	2	13	.15384615384615385
2	478	200	1	13	.07692307692307693
2	478	220	1	13	.07692307692307693
2	478	230	3	13	.23076923076923078
2	478	240	1	13	.07692307692307693
2	478	270	3	13	.23076923076923078
2	478	300	1	13	.07692307692307693
2	478	330	1	13	.07692307692307693
2	480	50	1	23	.043478260869565216
2	480	60	2	23	.08695652173913043
2	480	70	4	23	.17391304347826086
2	480	80	5	23	.21739130434782608
2	480	90	11	23	.4782608695652174
2	481	90	1	23	.043478260869565216
2	481	100	4	23	.17391304347826086
2	481	110	5	23	.21739130434782608
2	481	120	5	23	.21739130434782608
2	481	130	1	23	.043478260869565216
2	481	140	2	23	.08695652173913043
2	481	150	1	23	.043478260869565216
2	481	160	3	23	.13043478260869565
2	481	180	1	23	.043478260869565216
2	482	200	1	13	.07692307692307693
2	482	210	1	13	.07692307692307693
2	482	220	2	13	.15384615384615385
2	482	230	3	13	.23076923076923078
2	482	240	2	13	.15384615384615385
2	482	250	1	13	.07692307692307693
2	482	270	1	13	.07692307692307693
2	482	280	1	13	.07692307692307693
2	482	290	1	13	.07692307692307693
2	483	300	3	7	.42857142857142855
2	483	310	1	7	.14285714285714285
2	483	320	1	7	.14285714285714285
2	483	350	2	7	.2857142857142857
2	484	190	1	19	.05263157894736842
2	484	200	3	19	.15789473684210525
2	484	210	3	19	.15789473684210525
2	484	220	3	19	.15789473684210525
2	484	230	7	19	.3684210526315789
2	484	240	2	19	.10526315789473684
2	485	100	1	17	.058823529411764705
2	485	110	1	17	.058823529411764705
2	485	120	2	17	.11764705882352941
2	485	130	1	17	.058823529411764705
2	485	140	3	17	.17647058823529413
2	485	160	2	17	.11764705882352941
2	485	170	4	17	.23529411764705882
2	485	180	2	17	.11764705882352941
2	485	190	1	17	.058823529411764705
2	490	60	3	14	.21428571428571427
2	490	80	1	14	.07142857142857142
2	490	90	7	14	.5
2	490	100	1	14	.07142857142857142
2	490	110	1	14	.07142857142857142
2	490	120	1	14	.07142857142857142
2	491	100	3	13	.23076923076923078
2	491	120	1	13	.07692307692307693
2	491	130	1	13	.07692307692307693
2	491	140	2	13	.15384615384615385
2	491	150	1	13	.07692307692307693
2	491	160	1	13	.07692307692307693
2	491	170	1	13	.07692307692307693
2	491	180	1	13	.07692307692307693
2	491	190	2	13	.15384615384615385
2	492	90	1	16	.0625
2	492	100	2	16	.125
2	492	110	1	16	.0625
2	492	120	1	16	.0625
2	492	130	1	16	.0625
2	492	140	2	16	.125
2	492	150	1	16	.0625
2	492	160	2	16	.125
2	492	170	1	16	.0625
2	492	180	1	16	.0625
2	492	190	1	16	.0625
2	492	200	1	16	.0625
2	492	210	1	16	.0625
2	493	60	2	11	.18181818181818182
2	493	70	3	11	.2727272727272727
2	493	80	5	11	.45454545454545453
2	493	90	1	11	.09090909090909091
2	494	40	1	8	.125
2	494	50	2	8	.25
2	494	60	2	8	.25
2	494	70	1	8	.125
2	494	80	2	8	.25
2	495	60	2	8	.25
2	495	70	1	8	.125
2	495	80	2	8	.25
2	495	90	3	8	.375
