SOURCE	STRATA	DEP10	N_BREAK	TOTN	DISTFRAC
2	440	150	2	1177	.00169923534409516
2	440	160	5	1177	.00424808836023789
2	440	170	10	1177	.00849617672047579
2	440	180	17	1177	.0144435004248088
2	440	190	20	1177	.0169923534409516
2	440	200	30	1177	.0254885301614274
2	440	210	41	1177	.0348343245539507
2	440	220	41	1177	.0348343245539507
2	440	230	49	1177	.0416312659303314
2	440	240	41	1177	.0348343245539507
2	440	250	44	1177	.0373831775700935
2	440	260	47	1177	.0399320305862362
2	440	270	51	1177	.0433305012744265
2	440	280	58	1177	.0492778249787596
2	440	290	67	1177	.0569243840271878
2	440	300	65	1177	.0552251486830926
2	440	310	80	1177	.0679694137638063
2	440	320	68	1177	.0577740016992353
2	440	330	72	1177	.0611724723874257
2	440	340	102	1177	.086661002548853
2	440	350	136	1177	.115548003398471
2	440	360	82	1177	.0696686491079015
2	440	370	34	1177	.0288870008496177
2	440	380	15	1177	.0127442650807137
2	441	40	2	1451	.00137835975189524
2	441	50	2	1451	.00137835975189524
2	441	60	1	1451	.000689179875947622
2	441	70	5	1451	.00344589937973811
2	441	80	15	1451	.0103376981392143
2	441	90	84	1451	.0578911095796003
2	441	100	162	1451	.111647139903515
2	441	110	191	1451	.131633356305996
2	441	120	240	1451	.165403170227429
2	441	130	207	1451	.142660234321158
2	441	140	159	1451	.109579600275672
2	441	150	141	1451	.0971743625086148
2	441	160	109	1451	.0751206064782908
2	441	170	63	1451	.0434183321847002
2	441	180	29	1451	.019986216402481
2	441	190	23	1451	.0158511371467953
2	441	200	12	1451	.00827015851137147
2	441	210	6	1451	.00413507925568573
2	442	30	5	1960	.00255102040816327
2	442	40	138	1960	.0704081632653061
2	442	50	281	1960	.143367346938776
2	442	60	538	1960	.274489795918367
2	442	70	417	1960	.212755102040816
2	442	80	341	1960	.173979591836735
2	442	90	176	1960	.0897959183673469
2	442	100	45	1960	.0229591836734694
2	442	110	19	1960	.00969387755102041
2	443	50	12	920	.013043478
2	443	60	100	920	.108695652
2	443	70	229	920	.248913043
2	443	80	579	920	.629347826
2	444	90	770	6394	.120425399
2	444	100	855	6394	.133719112
2	444	110	707	6394	.110572412
2	444	120	637	6394	.099624648
2	444	130	735	6394	.114951517
2	444	140	696	6394	.108852049
2	444	150	696	6394	.108852049
2	444	160	546	6394	.085392556
2	444	170	424	6394	.066312168
2	444	180	328	6394	.051298092
2	445	190	264	1595	.165517241
2	445	200	307	1595	.192476489
2	445	210	205	1595	.128526646
2	445	220	189	1595	.118495298
2	445	230	124	1595	.077742947
2	445	240	111	1595	.069592476
2	445	250	134	1595	.084012539
2	445	260	104	1595	.065203762
2	445	270	65	1595	.040752351
2	445	280	37	1595	.023197492
2	445	290	19	1595	.011912226
2	445	300	13	1595	.00815047
2	445	310	8	1595	.005015674
2	445	320	4	1595	.002507837
2	445	330	1	1595	.000626959
2	445	340	1	1595	.000626959
2	445	350	2	1595	.001253918
2	445	360	3	1595	.001880878
2	445	370	2	1595	.001253918
2	445	380	1	1595	.000626959
2	445	390	1	1595	.000626959
2	446	140	1	554	.00180505415162455
2	446	150	2	554	.0036101083032491
2	446	160	2	554	.0036101083032491
2	446	170	1	554	.00180505415162455
2	446	180	11	554	.01985559566787
2	446	190	7	554	.0126353790613718
2	446	200	20	554	.036101083032491
2	446	210	23	554	.0415162454873646
2	446	220	31	554	.055956678700361
2	446	230	27	554	.0487364620938628
2	446	240	37	554	.0667870036101083
2	446	250	30	554	.0541516245487365
2	446	260	24	554	.0433212996389892
2	446	270	34	554	.0613718411552347
2	446	280	29	554	.0523465703971119
2	446	290	31	554	.055956678700361
2	446	300	34	554	.0613718411552347
2	446	310	32	554	.0577617328519856
2	446	320	44	554	.0794223826714802
2	446	330	32	554	.0577617328519856
2	446	340	28	554	.0505415162454874
2	446	350	25	554	.0451263537906137
2	446	360	30	554	.0541516245487365
2	446	370	12	554	.0216606498194946
2	446	380	6	554	.0108303249097473
2	446	390	1	554	.00180505415162455
2	447	20	3	2280	.00131578947368421
2	447	30	62	2280	.0271929824561404
2	447	40	473	2280	.207456140350877
2	447	50	504	2280	.221052631578947
2	447	60	605	2280	.265350877192982
2	447	70	283	2280	.124122807017544
2	447	80	142	2280	.062280701754386
2	447	90	83	2280	.0364035087719298
2	447	100	59	2280	.0258771929824561
2	447	110	22	2280	.00964912280701754
2	447	120	18	2280	.00789473684210526
2	447	130	8	2280	.00350877192982456
2	447	140	9	2280	.00394736842105263
2	447	150	4	2280	.00175438596491228
2	447	160	1	2280	.00043859649122807
2	447	170	3	2280	.00131578947368421
2	447	180	1	2280	.00043859649122807
2	448	30	1	1980	.000505050505050505
2	448	40	23	1980	.0116161616161616
2	448	50	285	1980	.143939393939394
2	448	60	681	1980	.343939393939394
2	448	70	557	1980	.281313131313131
2	448	80	198	1980	.1
2	448	90	117	1980	.0590909090909091
2	448	100	60	1980	.0303030303030303
2	448	110	21	1980	.0106060606060606
2	448	120	9	1980	.00454545454545455
2	448	130	7	1980	.00353535353535354
2	448	140	10	1980	.00505050505050505
2	448	150	3	1980	.00151515151515152
2	448	160	5	1980	.00252525252525253
2	448	180	2	1980	.00101010101010101
2	448	190	1	1980	.000505050505050505
2	449	50	2	216	.00925925925925926
2	449	60	2	216	.00925925925925926
2	449	70	7	216	.0324074074074074
2	449	80	13	216	.0601851851851852
2	449	90	28	216	.12962962962963
2	449	100	47	216	.217592592592593
2	449	110	30	216	.138888888888889
2	449	120	26	216	.12037037037037
2	449	130	13	216	.0601851851851852
2	449	140	12	216	.0555555555555556
2	449	150	14	216	.0648148148148148
2	449	160	6	216	.0277777777777778
2	449	170	7	216	.0324074074074074
2	449	180	2	216	.00925925925925926
2	449	190	2	216	.00925925925925926
2	449	200	1	216	.00462962962962963
2	449	210	1	216	.00462962962962963
2	449	220	2	216	.00925925925925926
2	449	240	1	216	.00462962962962963
2	450	50	1	528	.00189393939393939
2	450	60	4	528	.00757575757575758
2	450	70	13	528	.0246212121212121
2	450	80	26	528	.0492424242424242
2	450	90	51	528	.0965909090909091
2	450	100	91	528	.172348484848485
2	450	110	56	528	.106060606060606
2	450	120	60	528	.113636363636364
2	450	130	43	528	.0814393939393939
2	450	140	40	528	.0757575757575758
2	450	150	33	528	.0625
