vessel year cruise    baseno     repno
PRI 1984 312       202       302
PRI 1984 312       202       402
PRI 1984 312       206       306
PRI 1984 312       209       309
PRI 1984 312       210       310
PRI 1984 312       210       410
HAM 1988 192        27        30
HAM 1988 192         5         7
HAM 1988 192       146       150
HAM 1988 192       143       147
HAM 1988 192       144       148
HAM 1988 192       145       149
HAM 1988 192        97       100
HAM 1988 192       103       109
HAM 1988 192       113       114
HAM 1988 192       113       115
HAM 1988 192       110       118
HAM 1988 192       112       116
HAM 1988 192       111       117
HAM 1988 192       101       106
HAM 1988 192       101       107
HAM 1988 192       122       129
HAM 1988 192       121       128
HAM 1988 192       102       108
HAM 1988 192       119       120
HAM 1988 192       134       141
HAM 1988 192       126       132
HAM 1988 192       125       131
HAM 1988 192       124       130
HAM 1988 192       123       127
HAM 1988 192       137       138
HAM 1988 192       135       140
HAM 1988 192       136       139
HAM 1988 192        81        86
HAM 1988 192        94        98
HAM 1988 192        85        90
HAM 1988 192        91        92
HAM 1988 192        82        87
HAM 1988 192        83        88
HAM 1988 192        34        37
HAM 1988 192        84        89
HAM 1988 192       151       154
HAM 1988 192       157       158
HAM 1988 192       156       159
HAM 1988 192       155       160
HAM 1988 192        44        47
HAM 1988 192       161       163
HAM 1988 192       152       153
HAM 1988 192        39        41
HAM 1988 192        40        42
HAM 1988 192        25        28
HAM 1988 192        21        24
HAM 1988 192        19        23
HAM 1988 192        26        29
HAM 1988 192        14        17
HAM 1988 192        18        22
HAM 1988 192        76        77
HAM 1988 192        75        78
HAM 1988 192        74        79
HAM 1988 192         1        73
HAM 1988 192         8        72
HAM 1988 192         2         9
HAM 1988 192         3        10
HAM 1988 192        12        16
HAM 1988 192        13        69
HAM 1988 192        49        52
HAM 1988 192        50        51
HAM 1988 192        54        57
HAM 1988 192        46        53
HAM 1988 192        61        65
HAM 1988 192        62        66
HAM 1988 192        56        59
HAM 1988 192        55        58
HAM 1988 192        60        63
HAM 1988 192        60        64
HAM 1988 192        45        48
NED 1998 846       210       214
NED 1998 846       212       216
NED 1998 846       209       215
NED 1998 846       181       187
NED 1998 846       204       207
NED 1998 846       202       205
NED 1998 846       180       186
NED 1998 846       179       185
NED 1998 846       178       184
NED 1998 846       183       189
NED 1998 846       182       188
NED 1998 846       198       201
NED 1998 846       203       206
NED 1998 846        13        17
NED 1998 846        19        23
NED 1998 846        14        18
NED 1998 846        20        25
NED 1998 846        12        16
NED 1998 846        41        46
NED 1998 846        21        26
NED 1998 846        42        47
NED 1998 846        43        48
NED 1998 846       196       199
NED 1998 846       197       200
NED 1998 846       208       211
NED 1998 846       213       217
NED 1999 941         2         5
NED 1999 941         1         6
NED 1999 941         3         7
NED 1999 941         4         9
NED 1999 941        20        25
NED 1999 941        21        26
NED 1999 941        23        27
NED 1999 941        24        28
NED 1999 941        37        42
NED 1999 941        35        43
NED 1999 941       174       177
NED 1999 941       175       178
NED 1999 941       176       179
NED 1999 941       184       188
NED 1999 941       185       189
NED 1999 941       186       190
NED 1999 941       193       198
NED 1999 941       196       199
NED 1999 941       197       200
NED 1999 941       194       201
NED 1999 941       195       202
HAM 1986 159         3       203
HAM 1986 159        29       229
HAM 1986 159        33       233
HAM 1986 159        35       235
HAM 1986 159        37       237
HAM 1986 159        38       238
HAM 1986 159        43       243
HAM 1986 159        50       250
HAM 1986 159        51       251
HAM 1986 159        54       254
HAM 1986 159        55       255
HAM 1986 159        56       256
HAM 1986 159        57       257
HAM 1986 159        58       258
HAM 1986 159        59       259
HAM 1986 159        60       260
HAM 1986 159        61       261
HAM 1986 159        69       269
HAM 1986 159        75       275
HAM 1986 159        81       281
HAM 1986 159        82       282
HAM 1986 159        85       285
HAM 1986 159        90       290
HAM 1986 159        91       291
HAM 1986 159        94       294
HAM 1986 159       111       211
HAM 1986 159       112       212
HAM 1986 159       113       513
HAM 1986 159       114       214
HAM 1986 159       120       520
HAM 1986 159       139       239
HAM 1986 159       141       541
HAM 1986 159       142       542
HAM 1986 159        33       333
HAM 1986 159        35       335
HAM 1986 159        54       354
HAM 1986 159        56       356
HAM 1986 159        57       357
HAM 1986 159        81       381
HAM 1986 159        82       382
HAM 1986 159        85       385
HAM 1986 159        91       391
HAM 1986 159       112       512
HAM 1986 159       113       613
HAM 1986 159        54       454
HAM 1986 159        56       456
HAM 1986 159        57       457
HAM 1986 159       112       612
HAM 1986 159        54       554
HAM 1986 159        56       556
HAM 1986 159        57       557
HAM 1986 159        54       654
HAM 1986 159        56       656
HAM 1986 159        57       657
HAM 1986 159        54       754
HAM 1986 159        56       756
HAM 1986 159        57       757
HAM 1986 159        54       854
HAM 1986 159        56       856
HAM 1986 159        57       857
HAM 1986 159        54       954
HAM 1986 159        56       956
HAM 1986 159        54       -54
HAM 1987 179         3       203
HAM 1987 179        29       229
HAM 1987 179        33       233
HAM 1987 179        35       235
HAM 1987 179        37       237
HAM 1987 179        38       238
HAM 1987 179        43       243
HAM 1987 179        50       250
HAM 1987 179        51       251
HAM 1987 179        54       254
HAM 1987 179        55       255
HAM 1987 179        56       256
HAM 1987 179        57       257
HAM 1987 179        58       258
HAM 1987 179        59       259
HAM 1987 179        60       260
HAM 1987 179        61       261
HAM 1987 179        69       269
HAM 1987 179        75       275
HAM 1987 179        81       281
HAM 1987 179        82       282
HAM 1987 179        85       285
HAM 1987 179        90       290
HAM 1987 179        91       291
HAM 1987 179        94       294
HAM 1987 179       111       211
HAM 1987 179       112       212
HAM 1987 179       113       513
HAM 1987 179       114       214
HAM 1987 179       120       520
HAM 1987 179       139       239
HAM 1987 179       141       541
HAM 1987 179       142       542
HAM 1987 179        33       333
HAM 1987 179        35       335
HAM 1987 179        54       354
HAM 1987 179        56       356
HAM 1987 179        57       357
HAM 1987 179        81       381
HAM 1987 179        82       382
HAM 1987 179        85       385
HAM 1987 179        91       391
HAM 1987 179       112       512
HAM 1987 179       113       613
HAM 1987 179        54       454
HAM 1987 179        56       456
HAM 1987 179        57       457
HAM 1987 179       112       612
HAM 1987 179        54       554
HAM 1987 179        56       556
HAM 1987 179        57       557
HAM 1987 179        54       654
HAM 1987 179        56       656
HAM 1987 179        57       657
HAM 1987 179        54       754
HAM 1987 179        56       756
HAM 1987 179        57       757
HAM 1987 179        54       854
HAM 1987 179        56       856
HAM 1987 179        57       857
HAM 1987 179        54       954
HAM 1987 179        56       956
HAM 1987 179        54       -54
HAM 1985 141         3       203
HAM 1985 141        29       229
HAM 1985 141        33       233
HAM 1985 141        35       235
HAM 1985 141        37       237
HAM 1985 141        38       238
HAM 1985 141        43       243
HAM 1985 141        50       250
HAM 1985 141        51       251
HAM 1985 141        54       254
HAM 1985 141        55       255
HAM 1985 141        56       256
HAM 1985 141        57       257
HAM 1985 141        58       258
HAM 1985 141        59       259
HAM 1985 141        60       260
HAM 1985 141        61       261
HAM 1985 141        69       269
HAM 1985 141        75       275
HAM 1985 141        81       281
HAM 1985 141        82       282
HAM 1985 141        85       285
HAM 1985 141        90       290
HAM 1985 141        91       291
HAM 1985 141        94       294
HAM 1985 141       111       211
HAM 1985 141       112       212
HAM 1985 141       113       513
HAM 1985 141       114       214
HAM 1985 141       120       520
HAM 1985 141       139       239
HAM 1985 141       141       541
HAM 1985 141       142       542
HAM 1985 141        33       333
HAM 1985 141        35       335
HAM 1985 141        54       354
HAM 1985 141        56       356
HAM 1985 141        57       357
HAM 1985 141        81       381
HAM 1985 141        82       382
HAM 1985 141        85       385
HAM 1985 141        91       391
HAM 1985 141       112       512
HAM 1985 141       113       613
HAM 1985 141        54       454
HAM 1985 141        56       456
HAM 1985 141        57       457
HAM 1985 141       112       612
HAM 1985 141        54       554
HAM 1985 141        56       556
HAM 1985 141        57       557
HAM 1985 141        54       654
HAM 1985 141        56       656
HAM 1985 141        57       657
HAM 1985 141        54       754
HAM 1985 141        56       756
HAM 1985 141        57       757
HAM 1985 141        54       854
HAM 1985 141        56       856
HAM 1985 141        57       857
HAM 1985 141        54       954
HAM 1985 141        56       956
HAM 1985 141        54       -54
PRI 1985 327         3       203
PRI 1985 327        29       229
PRI 1985 327        33       233
PRI 1985 327        35       235
PRI 1985 327        37       237
PRI 1985 327        38       238
PRI 1985 327        43       243
PRI 1985 327        50       250
PRI 1985 327        51       251
PRI 1985 327        54       254
PRI 1985 327        55       255
PRI 1985 327        56       256
PRI 1985 327        57       257
PRI 1985 327        58       258
PRI 1985 327        59       259
PRI 1985 327        60       260
PRI 1985 327        61       261
PRI 1985 327        69       269
PRI 1985 327        75       275
PRI 1985 327        81       281
PRI 1985 327        82       282
PRI 1985 327        85       285
PRI 1985 327        90       290
PRI 1985 327        91       291
PRI 1985 327        94       294
PRI 1985 327       111       211
PRI 1985 327       112       212
PRI 1985 327       113       513
PRI 1985 327       114       214
PRI 1985 327       120       520
PRI 1985 327       139       239
PRI 1985 327       141       541
PRI 1985 327       142       542
PRI 1985 327        33       333
PRI 1985 327        35       335
PRI 1985 327        54       354
PRI 1985 327        56       356
PRI 1985 327        57       357
PRI 1985 327        81       381
PRI 1985 327        82       382
PRI 1985 327        85       385
PRI 1985 327        91       391
PRI 1985 327       112       512
PRI 1985 327       113       613
PRI 1985 327        54       454
PRI 1985 327        56       456
PRI 1985 327        57       457
PRI 1985 327       112       612
PRI 1985 327        54       554
PRI 1985 327        56       556
PRI 1985 327        57       557
PRI 1985 327        54       654
PRI 1985 327        56       656
PRI 1985 327        57       657
PRI 1985 327        54       754
PRI 1985 327        56       756
PRI 1985 327        57       757
PRI 1985 327        54       854
PRI 1985 327        56       856
PRI 1985 327        57       857
PRI 1985 327        54       954
PRI 1985 327        56       956
PRI 1985 327        54       -54
NED 2000 045       199       204
NED 2000 045       200       205
NED 2000 045       201       206
NED 2000 045        11        14
NED 2000 045        10        12
NED 2000 045       197       202
NED 2000 045         4         8
NED 2000 045         2         6
NED 2000 045       195       196
NED 2000 045         3         7
NED 2000 045         5         9
NED 2000 045        29        34
NED 2000 045        33        38
NED 2000 045        32        37
NED 2000 045        30        35
NED 2000 045        58        59
NED 2000 045        49        50
NED 2000 045        57        60
NED 2000 045        56        61
NED 2000 045        31        36
NED 2000 045       198       203
